idDip,urlPerf,fullName,apellido,nombre,estado,bloque,provincia,afirmativos,negativos,abstenciones,ausencias,presidencias
A3240,https://votaciones.hcdn.gob.ar/diputado/637,"BALIAN, Alejandro",BALIAN, Alejandro,-,Unión Cívica Radical,Córdoba,72,19,1,73,-
A21,https://votaciones.hcdn.gob.ar/diputado/638,"BALTER, Carlos Mario",BALTER, Carlos Mario,-,Demócrata de Mendoza,Mendoza,118,94,14,55,-
A4076,https://votaciones.hcdn.gob.ar/diputado/639,"BALTUZZI, Angel Enzo",BALTUZZI, Angel Enzo,-,Justicialista,Santa Fe,171,15,14,13,-
A50906,https://votaciones.hcdn.gob.ar/diputado/545,"BANFI, Karina Verónica",BANFI, Karina Verónica,En actividad,Unión Cívica Radical,Buenos Aires,412,127,4,4,-
G345,https://votaciones.hcdn.gob.ar/diputado/1532,"BANZAS de MOREAU, María del Cármen",BANZAS de MOREAU, María del Cármen,-,Unión Cívica Radical,Buenos Aires,32,29,1,38,-
A4545,https://votaciones.hcdn.gob.ar/diputado/640,"BARAGIOLA, Vilma Rosana",BARAGIOLA, Vilma Rosana,-,Unión Cívica Radical,Buenos Aires,158,79,6,589,-
A2599,https://votaciones.hcdn.gob.ar/diputado/641,"BARBAGELATA, María Elena",BARBAGELATA, María Elena,-,Partido Socialista,C.A.B.A.,36,114,13,38,-
A51191,https://votaciones.hcdn.gob.ar/diputado/1770,"BÁRBARO, Hector Orlando",BÁRBARO, Hector Orlando,En actividad,Frente de Todos,Misiones,27,-,-,-,-
G19,https://votaciones.hcdn.gob.ar/diputado/1203,"BARBERA, Eliseo",BARBERA, Eliseo,-,Justicialista,Salta,87,11,-,13,-
G361,https://votaciones.hcdn.gob.ar/diputado/1548,"BARBERIS, Edgardo Angel",BARBERIS, Edgardo Angel,-,Unión Cívica Radical,Santa Fe,31,20,3,46,-
A4813,https://votaciones.hcdn.gob.ar/diputado/157,"BARBIERI, Mario Leandro",BARBIERI, Mario Leandro,-,Unión Cívica Radical,Buenos Aires,120,59,3,143,-
G134,https://votaciones.hcdn.gob.ar/diputado/1318,"BARBOTTI, Atilio",BARBOTTI, Atilio,-,Alianza Acción Chaqueña,Capital Federal,46,7,-,58,-
A50759,https://votaciones.hcdn.gob.ar/diputado/67,"BARCHETTA, Omar Segundo",BARCHETTA, Omar Segundo,-,Partido Socialista,Santa Fe,165,95,26,123,-
A50851,https://votaciones.hcdn.gob.ar/diputado/181,"BARDEGGIA, Luis María",BARDEGGIA, Luis María,-,Frente para la Victoria - PJ,Rio Negro,319,92,9,71,-
A50864,https://votaciones.hcdn.gob.ar/diputado/104,"BARLETTA, Mario Domingo",BARLETTA, Mario Domingo,-,Unión Cívica Radical,Santa Fe,271,76,9,135,-
A4748,https://votaciones.hcdn.gob.ar/diputado/19,"BARRANDEGUY, Raúl Enrique",BARRANDEGUY, Raúl Enrique,-,Frente para la Victoria - PJ,Entre Ríos,278,25,4,18,-
A50832,https://votaciones.hcdn.gob.ar/diputado/323,"BARRETO, Jorge Rubén",BARRETO, Jorge Rubén,-,Frente para la Victoria - PJ,Entre Ríos,235,56,1,199,-
G293,https://votaciones.hcdn.gob.ar/diputado/1477,"BARRIONUEVO, Eduardo Ernesto",BARRIONUEVO, Eduardo Ernesto,-,Justicialista,Salta,95,15,13,41,-
A4476,https://votaciones.hcdn.gob.ar/diputado/642,"BARRIONUEVO, José Luis",BARRIONUEVO, José Luis,-,Nacional Sindical,Catamarca,136,24,9,663,-
G312,https://votaciones.hcdn.gob.ar/diputado/1499,"BARRIOS, Luis Américo",BARRIOS, Luis Américo,-,Justicialista,La Rioja,53,22,2,23,-
A4622,https://votaciones.hcdn.gob.ar/diputado/37,"BARRIOS, Miguel Angel",BARRIOS, Miguel Angel,-,Partido Socialista,Santa Fe,242,98,8,18,-
G346,https://votaciones.hcdn.gob.ar/diputado/1533,"BARRIOS ARRECHEA, Ricardo A.",BARRIOS ARRECHEA, Ricardo A.,-,Unión Cívica Radical,Misiones,41,29,2,28,-
A4727,https://votaciones.hcdn.gob.ar/diputado/643,"BARTOLUCCI, Gilda Liliana",BARTOLUCCI, Gilda Liliana,-,Frente Justicia Unión y Libertad,San Luis,32,17,2,49,-
A4157,https://votaciones.hcdn.gob.ar/diputado/644,"BASILE, Daniel Armando",BASILE, Daniel Armando,-,Peronista Federal,Buenos Aires,86,16,17,94,-
G68,https://votaciones.hcdn.gob.ar/diputado/1252,"BASSANI, Angel Marcelo",BASSANI, Angel Marcelo,-,A.R.I,Capital Federal,2,5,-,7,-
A4078,https://votaciones.hcdn.gob.ar/diputado/180,"BASTEIRO, Sergio Ariel",BASTEIRO, Sergio Ariel,-,Solidario SI,Buenos Aires,327,102,39,111,-
A50726,https://votaciones.hcdn.gob.ar/diputado/360,"BASTERRA, Luis Eugenio",BASTERRA, Luis Eugenio,-,Frente de Todos,Formosa,675,170,8,76,-
A4079,https://votaciones.hcdn.gob.ar/diputado/645,"BASUALDO, Roberto",BASUALDO, Roberto,-,Justicialista,San Juan,160,15,17,21,-
G135,https://votaciones.hcdn.gob.ar/diputado/1319,"BAUM, Daniel",BAUM, Daniel,-,Justicialista,Capital Federal,72,17,-,22,-
A2076,https://votaciones.hcdn.gob.ar/diputado/646,"BAYLAC, Juan Pablo",BAYLAC, Juan Pablo,-,Unión Cívica Radical,Buenos Aires,129,55,6,89,-
A4058,https://votaciones.hcdn.gob.ar/diputado/647,"BAYONZO, Liliana Amelia",BAYONZO, Liliana Amelia,-,Unión Cívica Radical,Chaco,433,242,18,352,-
A50687,https://votaciones.hcdn.gob.ar/diputado/110,"BAZZE, Miguel Ángel",BAZZE, Miguel Ángel,En actividad,Unión Cívica Radical,Buenos Aires,552,268,12,124,-
A4321,https://votaciones.hcdn.gob.ar/diputado/648,"BECCANI, Alberto Juan",BECCANI, Alberto Juan,-,Unión Cívica Radical,Santa Fe,367,200,12,119,-
G136,https://votaciones.hcdn.gob.ar/diputado/1320,"BECERRA, Carlos Armando",BECERRA, Carlos Armando,-,Justicialista,Capital Federal,86,62,1,62,-
G69,https://votaciones.hcdn.gob.ar/diputado/1253,"BECERRA, Nicolas Eduardo",BECERRA, Nicolas Eduardo,-,Corriente de Pensamiento Federal,Capital Federal,69,15,1,26,-
A121,https://votaciones.hcdn.gob.ar/diputado/649,"BECERRA, Omar Enrique",BECERRA, Omar Enrique,-,Justicialista,Tierra del Fuego,65,56,4,40,-
A4649,https://votaciones.hcdn.gob.ar/diputado/468,"BEDANO, Nora Esther",BEDANO, Nora Esther,-,Frente para la Victoria - PJ,Córdoba,585,27,7,156,-
A4322,https://votaciones.hcdn.gob.ar/diputado/650,"BEJARANO, Mario Fernando",BEJARANO, Mario Fernando,-,Frente para la Victoria - PJ,Formosa,298,14,9,377,-
A50995,https://votaciones.hcdn.gob.ar/diputado/275,"BELLOCQ, Gerardo Alberto",BELLOCQ, Gerardo Alberto,-,Unión Cívica Radical,Córdoba,3,2,-,-,-
A4658,https://votaciones.hcdn.gob.ar/diputado/463,"BELOUS, Nélida",BELOUS, Nélida,-,Bloque Social Patagónico,Tierra del Fuego,220,51,22,73,-
